Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C2, C4",0402,3,10uf,
"C11, C12, C13, C14, C3, C5, C6, C7",0402,8,0.1uf,
C15,0402,1,1uf,
C16,0402,1,22pf,
"C17, C18",0402,2,100nf,
"C8, C9",0402,2,22uf,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B-V6,
"D2, D3",0402,2,1N4001,
"D4, D5, D7",0402,3,LED,
J1,JST_BM02B-SRSS-TB_LF__SN_,1,BM02B-SRSS-TB_LF__SN_,
"R10, R11, R2",0402,3,10k,
R3,0402,1,30k,
"R4, R5, R6",0402,3,1k,
"R7, R8, R9",0402,3,4.7k,
SW1,PTS636SM25FSMTRLFS,1,SW_SPDT_RESET,
SW2,PTS636SM25FSMTRLFS,1,SW_SPDT_BOOT,
TP1,TestPoint_Pad_1.0x1.0mm,1,TestPoint,
U1,ESP32-C3-MINI-1_EXP,1,ESP32-C3-MINI-1-N4,
U2,SOT-223-3_TabPin2,1,TLV1117-33IDCY,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U4,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U5,TO-92_Inline,1,DS18B20,
U6,SOT-23-6,1,TTP223-BA6,
USB1,USB-C-SMD_TYPEC-304J-BCP16,1,TYPEC-304J-BCP16,C2835315
