Designator,Mid X,Mid Y,Rotation,Layer
C10,154.85,-74.46,90.0,bottom
C11,157.8,-65.13,90.0,top
C12,124.79,-66.49,180.0,top
C13,160.88,-73.41,270.0,top
C14,139.83,-63.57,90.0,bottom
C15,140.96,-63.52,90.0,bottom
C16,130.01,-65.72,270.0,top
C17,127.2,-61.72,180.0,top
C18,127.24,-62.79,180.0,top
C2,124.21,-65.07,90.0,bottom
C3,123.71,-61.86,90.0,bottom
C4,124.74,-61.88,270.0,bottom
C5,169.44,-64.41,90.0,top
C6,170.94,-64.53,90.0,top
C7,162.82,-63.08,180.0,top
C8,147.54,-63.44,90.0,bottom
C9,147.85,-64.9,180.0,bottom
D1,165.76,-71.57,270.0,top
D2,152.015,-62.5,0.0,bottom
D3,152.0325,-63.61,0.0,bottom
D4,173.015,-73.56,0.0,top
D5,119.69,-73.08,90.0,top
D7,175.5,-73.5,180.0,top
J1,166.66,-64.35,270.0,top
R10,162.91,-61.98,180.0,top
R11,138.76,-63.58,90.0,bottom
R2,125.74,-61.89,270.0,bottom
R3,153.69,-74.42,90.0,bottom
R4,175.5,-74.5,0.0,top
R5,173.015,-74.56,0.0,top
R6,120.86,-73.06,90.0,top
R7,157.61,-71.83,270.0,top
R8,157.65,-74.17,90.0,top
R9,124.75,-67.68,180.0,top
SW1,143.5,-67.5,90.0,bottom
SW2,160.56,-66.27,90.0,top
TP1,124.99,-74.28,0.0,top
U1,114.3949,-68.0,270.0,bottom
U2,149.5,-69.89,90.0,bottom
U3,134.2,-70.31,270.0,bottom
U4,155.0,-68.27,270.0,top
U5,124.65,-70.96,0.0,top
U6,127.56,-65.49,270.0,top
USB1,174.905,-67.97,90.0,top
